seed,maxmc_final_solve_rate,log_relative_final_solve_rate,delta_final_solve_rate,maxmc_journey_mean_solve_rate,log_relative_journey_mean_solve_rate,delta_journey_mean_solve_rate,maxmc_peak_to_final_drop,log_relative_peak_to_final_drop,delta_peak_to_final_drop,maxmc_journey_exact_unique_ratio,log_relative_journey_exact_unique_ratio,delta_journey_exact_unique_ratio,maxmc_journey_simpson_effective_size,log_relative_journey_simpson_effective_size,delta_journey_simpson_effective_size,maxmc_journey_mean_pairwise_wall_distance_d4,log_relative_journey_mean_pairwise_wall_distance_d4,delta_journey_mean_pairwise_wall_distance_d4,maxmc_journey_mean_shortest_path,log_relative_journey_mean_shortest_path,delta_journey_mean_shortest_path,maxmc_journey_mean_solvable,log_relative_journey_mean_solvable,delta_journey_mean_solvable
0,0.48750001192092896,0.3125,-0.17500001192092896,0.3325000022848447,0.16833333628252148,-0.16416666600232324,0.34999996423721313,0.2625000476837158,-0.08749991655349731,0.3797916666666667,0.37583333333333335,-0.0039583333333333415,2.6368310650235154,2.6105563373887306,-0.026274727634784778,0.13279768721766239,0.12925136794553668,-0.003546319272125703,10.083333333333334,8.56888440860215,-1.5144489247311839,1.0,0.9989583333333333,-0.0010416666666667185
1,0.11249999701976776,0.17500001192092896,0.0625000149011612,0.19500000199923911,0.18575000214080015,-0.009249999858438968,0.36249999701976776,0.3374999761581421,-0.02500002086162567,0.38458333333333333,0.38375,-0.0008333333333333526,2.7549464818190796,2.7829452522125195,0.027998770393439898,0.136490344849526,0.13634321117261564,-0.00014713367691035484,9.839583333333334,9.51192876344086,-0.32765456989247355,1.0,0.996875,-0.0031250000000000444
2,0.2750000059604645,0.32499998807907104,0.04999998211860657,0.32650000536814333,0.27008333601057527,-0.05641666935756806,0.42500004172325134,0.3750000596046448,-0.04999998211860657,0.3797916666666667,0.393125,0.013333333333333308,2.6446449290624496,2.7550967529951222,0.11045182393267261,0.1294800216326271,0.13331345040402112,0.003833428771394032,9.489583333333334,8.952083333333333,-0.5375000000000014,1.0,1.0,0.0
3,0.2750000059604645,0.512499988079071,0.23749998211860657,0.3459166721627116,0.3284166699027022,-0.017500002260009417,0.5000000298023224,0.18750005960464478,-0.3124999701976776,0.3772916666666667,0.385625,0.008333333333333304,2.63151363040166,2.724849876082178,0.09333624568051802,0.1299409079340841,0.1366243557930903,0.006683447859006181,10.772110215053765,9.309375,-1.4627352150537654,0.9989583333333333,0.975,-0.023958333333333304
4,0.5249999761581421,0.125,-0.3999999761581421,0.44875000467523934,0.13000000254561503,-0.31875000212962434,0.4500000476837158,0.2250000238418579,-0.2250000238418579,0.38354166666666667,0.38166666666666665,-0.0018750000000000155,2.750897727595371,2.6642545537535214,-0.08664317384184983,0.13000413564929694,0.1276587453076287,-0.002345390341668252,10.463944892473117,8.369086021505376,-2.094858870967741,0.9979166666666667,0.9979166666666667,0.0
5,0.38750001788139343,0.0,-0.38750001788139343,0.27358333771427473,0.10666666862244407,-0.16691666909183067,0.13750001788139343,0.38749998807907104,0.2499999701976776,0.381875,0.384375,0.0025000000000000022,2.687801447692895,2.7413686137388624,0.05356716604596734,0.1302296080676974,0.13030198193039383,7.237386269642876e-05,9.520833333333334,9.728125,0.20729166666666643,1.0,1.0,0.0
