algorithm,n_runs,n_complete_30k,final_solve_rate_mean,final_solve_rate_sem,final_solve_rate_n,final_solve_rate_min,final_solve_rate_max,journey_mean_solve_rate_mean,journey_mean_solve_rate_sem,journey_mean_solve_rate_n,journey_mean_solve_rate_min,journey_mean_solve_rate_max,peak_to_final_drop_mean,peak_to_final_drop_sem,peak_to_final_drop_n,peak_to_final_drop_min,peak_to_final_drop_max,journey_exact_unique_ratio_mean,journey_exact_unique_ratio_sem,journey_exact_unique_ratio_n,journey_exact_unique_ratio_min,journey_exact_unique_ratio_max,journey_duplicate_fraction_mean,journey_duplicate_fraction_sem,journey_duplicate_fraction_n,journey_duplicate_fraction_min,journey_duplicate_fraction_max,journey_dominant_share_mean,journey_dominant_share_sem,journey_dominant_share_n,journey_dominant_share_min,journey_dominant_share_max,journey_simpson_effective_size_mean,journey_simpson_effective_size_sem,journey_simpson_effective_size_n,journey_simpson_effective_size_min,journey_simpson_effective_size_max,journey_mean_pairwise_wall_distance_d4_mean,journey_mean_pairwise_wall_distance_d4_sem,journey_mean_pairwise_wall_distance_d4_n,journey_mean_pairwise_wall_distance_d4_min,journey_mean_pairwise_wall_distance_d4_max,journey_mean_nearest_wall_distance_d4_unique_mean,journey_mean_nearest_wall_distance_d4_unique_sem,journey_mean_nearest_wall_distance_d4_unique_n,journey_mean_nearest_wall_distance_d4_unique_min,journey_mean_nearest_wall_distance_d4_unique_max,journey_mean_solvable_mean,journey_mean_solvable_sem,journey_mean_solvable_n,journey_mean_solvable_min,journey_mean_solvable_max,journey_mean_shortest_path_mean,journey_mean_shortest_path_sem,journey_mean_shortest_path_n,journey_mean_shortest_path_min,journey_mean_shortest_path_max,journey_mean_reachable_fraction_mean,journey_mean_reachable_fraction_sem,journey_mean_reachable_fraction_n,journey_mean_reachable_fraction_min,journey_mean_reachable_fraction_max,journey_mean_dead_end_fraction_mean,journey_mean_dead_end_fraction_sem,journey_mean_dead_end_fraction_n,journey_mean_dead_end_fraction_min,journey_mean_dead_end_fraction_max
Editor transfer,3,3,0.24166667461395264,0.06222160470735125,3,0.125,0.3375000059604645,0.1648611139982111,0.02562416875481421,3,0.13783333537479242,0.21608333740383387,0.20416666070620218,0.0480523508633533,3,0.11249998211860657,0.2750000059604645,0.3777083333333333,0.0053291541785971406,3,0.36916666666666664,0.3875,0.6222916666666667,0.005329154178597124,3,0.6125,0.6308333333333334,0.6125694444444444,0.004098987378714911,3,0.604375,0.616875,2.6835792313388915,0.05884086922008043,3,2.6247357127618898,2.8012609697392885,0.1313761903247015,0.0010572988870533985,3,0.1294052618184132,0.1330251479289941,0.18759943773895507,0.0007578774950285763,3,0.18614611342944096,0.18869895540318443,0.9982638888888888,0.0009186636496752159,3,0.996875,1.0,9.044581093189965,0.08891407228426729,3,8.904475806451613,9.209475806451614,0.9986813749850308,0.00022279730643845767,3,0.9983645278604214,0.9991111320026792,0.022991410625913936,0.0011937745229795185,3,0.02147081914179513,0.02534580297388026
Log-relative transfer,6,6,0.24166666467984518,0.07343269555629045,6,0.0,0.512499988079071,0.19820833591744302,0.034737206351783706,6,0.10666666862244407,0.3284166699027022,0.29583335916201275,0.03379882597939674,6,0.18750005960464478,0.38749998807907104,0.3840625,0.0022965541316567356,6,0.37583333333333335,0.393125,0.6159374999999999,0.0022965541316567264,6,0.606875,0.6241666666666666,0.6107986111111111,0.0026475096760102536,6,0.6027083333333333,0.6208333333333333,2.7131785643618223,0.026128084478854747,6,2.6105563373887306,2.7829452522125195,0.13224885209221438,0.001537167019895319,6,0.1276587453076287,0.1366243557930903,0.1878761260944519,0.0003483907752954208,6,0.18683613625355702,0.18886200371929576,0.9947916666666666,0.00398927961565141,6,0.975,1.0,9.07324708781362,0.21923870234668183,6,8.369086021505376,9.728125,0.9973277339625884,0.00040233682503835674,6,0.9960474038674718,0.9988181640025978,0.024349945766969843,0.00037967726384366396,6,0.022939442075285477,0.02578016363163654
MaxMC,6,6,0.3437500024835269,0.06281172159410117,6,0.11249999701976776,0.5249999761581421,0.32037500403407543,0.034266309983497646,6,0.19500000199923911,0.44875000467523934,0.37083334972461063,0.05190804250381903,6,0.13750001788139343,0.5000000298023224,0.38114583333333335,0.001104690651352303,6,0.3772916666666667,0.38458333333333333,0.6188541666666666,0.001104690651352312,6,0.6154166666666666,0.6227083333333333,0.6119097222222222,0.002553488369845907,6,0.6041666666666666,0.61875,2.684439213599162,0.02313046463138038,6,2.63151363040166,2.7549464818190796,0.13149045089181566,0.0011097983782545437,6,0.1294800216326271,0.136490344849526,0.1879043371726993,0.00048201240430398675,6,0.1865221366404798,0.18958792422593326,0.9994791666666667,0.00035579690159582086,6,0.9979166666666667,1.0,10.028231406810036,0.2105089699517073,6,9.489583333333334,10.772110215053765,0.9975065535437274,0.0003724990182725207,6,0.9961011109668739,0.9984929558373431,0.023950691981146844,0.000681242286941639,6,0.02124309253286378,0.025554317387657562
Mean absolute advantage,3,2,0.25833334525426227,0.01502313527384027,3,0.23750001192092896,0.2875000238418579,0.20232507751790343,0.026931960952790678,3,0.17158333499605458,0.25600000225007535,0.19583332538604736,0.029166672910963202,3,0.1499999761581421,0.25,0.3862434309309309,0.001810937458609426,3,0.3829166666666667,0.3891469594594595,0.6137565690690691,0.0018109374586094131,3,0.6108530405405406,0.6170833333333333,0.6091948198198198,0.0045805183064133665,3,0.6000844594594594,0.6145833333333334,2.711563755900965,0.0383184418131546,3,2.666524257423928,2.787781658102756,0.13532660385306486,0.0008981845321814555,3,0.1336437264284445,0.13671223834065024,0.1880979426096524,0.0009410073412145463,3,0.18711685284910134,0.1899793798689298,0.9896072796934866,0.00937037320441964,3,0.9709051724137931,1.0,10.868763352578704,0.1405835967458526,3,10.708434139784947,11.148958333333333,0.9981029774101092,0.00021884200480355828,3,0.9977642495365963,0.9985123893420216,0.02617908839742199,0.001101480392019442,3,0.024164984385465875,0.027959002573373852
Mean positive delight,3,3,0.16666666915019354,0.03410563739901965,3,0.10000000149011612,0.21250000596046448,0.10633333511857523,0.009954875033291571,3,0.09208333538845181,0.12550000187630456,0.17916667213042578,0.029166666169962562,3,0.125,0.22499999403953552,0.3840277777777778,0.0029397236789606577,3,0.37958333333333333,0.38958333333333334,0.6159722222222223,0.0029397236789606264,3,0.6104166666666667,0.6204166666666666,0.6113888888888889,0.003203489609630777,3,0.605,0.615,2.703414286453061,0.023049919810132304,3,2.678854186225933,2.7494803916394748,0.1314280184937753,0.0036997496819208787,3,0.1241963319972005,0.13640087166762108,0.18653365361031563,0.001399974929072426,3,0.18481605063923195,0.18930744058702637,1.0,0.0,3,1.0,1.0,8.123611111111112,0.21594793763075226,3,7.722916666666666,8.463541666666666,0.9971388201287646,0.00048755247150970886,3,0.9962250500159894,0.9978904769157756,0.023325365425540704,0.00047186465098586505,3,0.022534190405649406,0.024166486674360346
